GeneSymbol	GeneID	ChemicalName	ChemicalID	CasRN	Interaction	InteractionActions	PubMedIDs
HADHA	3030	fenofibric acid	C006012	26129-32-8	[fenofibric acid binds to PPARA protein] which results in increased expression of HADHA mRNA	affects^binding|increases^expression	16197558
HADHA	3030	gossypol acetic acid	C028178	12542-36-8	gossypol acetic acid results in decreased expression of HADHA protein	decreases^expression	29938581
HADHA	3030	GW 4064	C412815		[GW 4064 co-treated with Oleic Acid] results in decreased expression of HADHA mRNA	affects^cotreatment|decreases^expression	30611723
HADHA	3030	GW 501516	C425931		[GW 501516 binds to PPARD protein] which results in increased expression of HADHA mRNA	affects^binding|increases^expression	16197558
HADHA	3030	GW 7647	C453899		[GW 7647 co-treated with Oleic Acid] results in increased expression of HADHA mRNA	affects^cotreatment|increases^expression	30611723
HADHA	3030	GW 7647	C453899		GW 7647 promotes the reaction [Oleic Acid results in increased expression of HADHA mRNA]	increases^expression|increases^reaction	30611723
HADHA	3030	GW 7647	C453899		GW 7647 results in increased expression of HADHA mRNA	increases^expression	30611723
HADHA	3030	Ionomycin	D015759	56092-81-0	[bathocuproine sulfonate co-treated with pyrrolidine dithiocarbamic acid] inhibits the reaction [[Tetradecanoylphorbol Acetate co-treated with Ionomycin] results in increased expression of HADHA mRNA]	affects^cotreatment|decreases^reaction|increases^expression	15477007
HADHA	3030	Ionomycin	D015759	56092-81-0	[Tetradecanoylphorbol Acetate co-treated with Ionomycin] results in increased expression of HADHA mRNA	affects^cotreatment|increases^expression	15477007
HADHA	3030	Lead	D007854	7439-92-1	Lead results in decreased expression of HADHA mRNA	decreases^expression	19921347
HADHA	3030	Methotrexate	D008727	59-05-2	Methotrexate results in increased expression of HADHA mRNA	increases^expression	17400583
HADHA	3030	Oleic Acid	D019301	112-80-1	[6-(4-chlorophenyl)imidazo(2,1-b)(1,3)thiazole-5-carbaldehyde O-(3,4-dichlorobenzyl)oxime co-treated with Oleic Acid] results in increased expression of HADHA mRNA	affects^cotreatment|increases^expression	30611723
HADHA	3030	Oleic Acid	D019301	112-80-1	[Farnesol analog co-treated with Oleic Acid] results in increased expression of HADHA mRNA	affects^cotreatment|increases^expression	30611723
HADHA	3030	Oleic Acid	D019301	112-80-1	[GW 4064 co-treated with Oleic Acid] results in decreased expression of HADHA mRNA	affects^cotreatment|decreases^expression	30611723
HADHA	3030	Oleic Acid	D019301	112-80-1	[GW 7647 co-treated with Oleic Acid] results in increased expression of HADHA mRNA	affects^cotreatment|increases^expression	30611723
HADHA	3030	Oleic Acid	D019301	112-80-1	GW 7647 promotes the reaction [Oleic Acid results in increased expression of HADHA mRNA]	increases^expression|increases^reaction	30611723
HADHA	3030	Oleic Acid	D019301	112-80-1	Oleic Acid results in increased expression of HADHA mRNA	increases^expression	30611723
HADHA	3030	perfluorobutane	C108042		perfluorobutane affects the expression of HADHA mRNA	affects^expression	23567314
HADHA	3030	perfluorodecanoic acid	C036567	335-76-2	perfluorodecanoic acid affects the expression of HADHA mRNA	affects^expression	23567314
HADHA	3030	perfluorododecanoic acid	C522391		perfluorododecanoic acid affects the expression of HADHA mRNA	affects^expression	23567314
HADHA	3030	perfluorohexanesulfonic acid	C471071	355-46-4	perfluorohexanesulfonic acid affects the expression of HADHA mRNA	affects^expression	23567314
HADHA	3030	perfluorohexanoic acid	C479228		perfluorohexanoic acid results in increased expression of HADHA mRNA	increases^expression	23567314
HADHA	3030	perfluoro-n-heptanoic acid	C101815	375-85-9	perfluoro-n-heptanoic acid results in increased expression of HADHA mRNA	increases^expression	23567314
HADHA	3030	perfluoro-n-nonanoic acid	C101816	375-95-1	perfluoro-n-nonanoic acid results in increased expression of HADHA mRNA	increases^expression	23567314
HADHA	3030	perfluoro-n-undecanoic acid	C101814	2058-94-8	perfluoro-n-undecanoic acid affects the expression of HADHA mRNA	affects^expression	23567314
HADHA	3030	perfluorooctane sulfonic acid	C076994	1763-23-1	perfluorooctane sulfonic acid results in increased expression of HADHA mRNA	increases^expression	23567314
HADHA	3030	perfluorooctanoic acid	C023036	335-67-1	perfluorooctanoic acid results in increased expression of HADHA mRNA	increases^expression	23567314|32588087
HADHA	3030	pyrrolidine dithiocarbamic acid	C020972	25769-03-3	[bathocuproine sulfonate co-treated with pyrrolidine dithiocarbamic acid] inhibits the reaction [[Tetradecanoylphorbol Acetate co-treated with Ionomycin] results in increased expression of HADHA mRNA]	affects^cotreatment|decreases^reaction|increases^expression	15477007
HADHA	3030	Sarin	D012524	107-44-8	Sarin results in decreased expression of HADHA mRNA	decreases^expression	19522546
HADHA	3030	Selenium	D012643	7782-49-2	Selenium results in decreased expression of HADHA mRNA	decreases^expression	19244175
HADHA	3030	Silver Compounds	D018030		Silver Compounds results in decreased expression of HADHA mRNA	decreases^expression	29703973
HADHA	3030	Sodium Selenite	D018038	10102-18-8	Sodium Selenite results in increased expression of HADHA mRNA	increases^expression	18175754
HADHA	3030	testosterone enanthate	C004648		testosterone enanthate affects the expression of HADHA mRNA	affects^expression	17440010
HADHA	3030	Tetradecanoylphorbol Acetate	D013755	16561-29-8	[bathocuproine sulfonate co-treated with pyrrolidine dithiocarbamic acid] inhibits the reaction [[Tetradecanoylphorbol Acetate co-treated with Ionomycin] results in increased expression of HADHA mRNA]	affects^cotreatment|decreases^reaction|increases^expression	15477007
HADHA	3030	Tetradecanoylphorbol Acetate	D013755	16561-29-8	[Tetradecanoylphorbol Acetate co-treated with Ionomycin] results in increased expression of HADHA mRNA	affects^cotreatment|increases^expression	15477007
HADHA	3030	Thimerosal	D013849	54-64-8	Thimerosal results in decreased expression of HADHA mRNA	decreases^expression	27188386
HADHA	3030	Valproic Acid	D014635	99-66-1	Valproic Acid affects the expression of HADHA mRNA	affects^expression	25979313
HADHA	3030	Valproic Acid	D014635	99-66-1	Valproic Acid results in decreased methylation of HADHA gene	decreases^methylation	29154799
HADHA	3030	Vitamin E	D014810	1406-18-4	Vitamin E results in decreased expression of HADHA mRNA	decreases^expression	19244175
HADHB	3032	4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide results in increased expression of HADHB protein	increases^expression	25670856
HADHB	3032	6-(4-chlorophenyl)imidazo(2,1-b)(1,3)thiazole-5-carbaldehyde O-(3,4-dichlorobenzyl)oxime	C475093		[6-(4-chlorophenyl)imidazo(2,1-b)(1,3)thiazole-5-carbaldehyde O-(3,4-dichlorobenzyl)oxime co-treated with Oleic Acid] results in increased expression of HADHB mRNA	affects^cotreatment|increases^expression	30611723
HADHB	3032	Acetaminophen	D000082	103-90-2	Acetaminophen results in decreased expression of HADHB mRNA	decreases^expression	22230336
HADHB	3032	Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene affects the methylation of HADHB 5' UTR	affects^methylation	27901495
HADHB	3032	dicrotophos	C000944	3735-78-2	dicrotophos results in decreased expression of HADHB mRNA	decreases^expression	28302478
HADHB	3032	Doxorubicin	D004317	23214-92-8	Doxorubicin results in decreased expression of HADHB mRNA	decreases^expression	29803840
HADHB	3032	Estradiol	D004958	50-28-2	[Estradiol co-treated with TGFB1 protein] results in decreased expression of HADHB mRNA	affects^cotreatment|decreases^expression	30165855
HADHB	3032	Farnesol	D005204	4602-84-0	[Farnesol analog co-treated with Oleic Acid] results in increased expression of HADHB mRNA	affects^cotreatment|increases^expression	30611723
HADHB	3032	Farnesol	D005204	4602-84-0	Farnesol analog results in increased expression of HADHB mRNA	increases^expression	30611723
HADHB	3032	Fenofibrate	D011345	49562-28-9	Fenofibrate results in increased expression of HADHB mRNA	increases^expression	24752549|25572481
HADHB	3032	fenofibric acid	C006012	26129-32-8	[fenofibric acid binds to PPARA protein] which results in increased expression of HADHB mRNA	affects^binding|increases^expression	16197558
HADHB	3032	GW 7647	C453899		[GW 7647 co-treated with Oleic Acid] results in increased expression of HADHB mRNA	affects^cotreatment|increases^expression	30611723
HADHB	3032	GW 7647	C453899		GW 7647 promotes the reaction [Oleic Acid results in increased expression of HADHB mRNA]	increases^expression|increases^reaction	30611723
HADHB	3032	GW 7647	C453899		GW 7647 results in increased expression of HADHB mRNA	increases^expression	30611723
HADHB	3032	GW 7647	C453899		Oleic Acid promotes the reaction [GW 7647 results in increased expression of HADHB mRNA]	increases^expression|increases^reaction	30611723
HADHB	3032	ICG 001	C492448		ICG 001 results in increased expression of HADHB mRNA	increases^expression	26191083
HADHB	3032	Lead	D007854	7439-92-1	Lead results in decreased expression of HADHB mRNA	decreases^expression	19921347
HADHB	3032	Methotrexate	D008727	59-05-2	Methotrexate results in increased expression of HADHB mRNA	increases^expression	17400583
HADHB	3032	ochratoxin A	C025589	303-47-9	ochratoxin A results in decreased expression of HADHB protein	decreases^expression	26861962
HADHB	3032	Oleic Acid	D019301	112-80-1	[6-(4-chlorophenyl)imidazo(2,1-b)(1,3)thiazole-5-carbaldehyde O-(3,4-dichlorobenzyl)oxime co-treated with Oleic Acid] results in increased expression of HADHB mRNA	affects^cotreatment|increases^expression	30611723
HADHB	3032	Oleic Acid	D019301	112-80-1	[Farnesol analog co-treated with Oleic Acid] results in increased expression of HADHB mRNA	affects^cotreatment|increases^expression	30611723
HADHB	3032	Oleic Acid	D019301	112-80-1	[GW 7647 co-treated with Oleic Acid] results in increased expression of HADHB mRNA	affects^cotreatment|increases^expression	30611723
HADHB	3032	Oleic Acid	D019301	112-80-1	GW 7647 promotes the reaction [Oleic Acid results in increased expression of HADHB mRNA]	increases^expression|increases^reaction	30611723
HADHB	3032	Oleic Acid	D019301	112-80-1	Oleic Acid promotes the reaction [GW 7647 results in increased expression of HADHB mRNA]	increases^expression|increases^reaction	30611723
HADHB	3032	Oleic Acid	D019301	112-80-1	Oleic Acid results in increased expression of HADHB mRNA	increases^expression	30611723
HADHB	3032	perfluorooctanoic acid	C023036	335-67-1	perfluorooctanoic acid results in increased expression of HADHB mRNA	increases^expression	32588087
HADHB	3032	Rosiglitazone	D000077154		Rosiglitazone results in increased expression of HADHB mRNA	increases^expression	25572481
HADHB	3032	titanium dioxide	C009495	13463-67-7	titanium dioxide results in decreased expression of HADHB protein	decreases^expression	30910687
HADHB	3032	Uranium Compounds	D017974		Uranium Compounds results in increased expression of HADHB mRNA	increases^expression	19654044
HADHB	3032	Valproic Acid	D014635	99-66-1	Valproic Acid results in decreased methylation of HADHB gene	decreases^methylation	29154799
HADHB	3032	Valproic Acid	D014635	99-66-1	Valproic Acid results in increased expression of HADHB mRNA	increases^expression	29501571
HARS1	3035	3-(2-hydroxy-4-(2-methylnonan-2-yl)phenyl)cyclohexan-1-ol	C572491		3-(2-hydroxy-4-(2-methylnonan-2-yl)phenyl)cyclohexan-1-ol results in increased expression of HARS1 protein	increases^expression	26194647
HARS1	3035	4-aminophenylarsenoxide	C032642	1122-90-3	4-aminophenylarsenoxide binds to HARS1 protein	affects^binding	26598702
HARS1	3035	4-aminophenylarsenoxide	C032642	1122-90-3	Arsenic Trioxide inhibits the reaction [4-aminophenylarsenoxide binds to HARS1 protein]	affects^binding|decreases^reaction	26598702
HARS1	3035	Arsenic Trioxide	D000077237	1327-53-3	Arsenic Trioxide inhibits the reaction [4-aminophenylarsenoxide binds to HARS1 protein]	affects^binding|decreases^reaction	26598702
HARS1	3035	calfactant	C117342		[Nanotubes, Carbon co-treated with calfactant] results in increased expression of HARS1 protein	affects^cotreatment|increases^expression	23026733
HARS1	3035	chloropicrin	C100187	76-06-2	chloropicrin results in increased expression of HARS1 mRNA	increases^expression	26352163
HARS1	3035	Copper Sulfate	D019327	7758-98-7	Copper Sulfate results in increased expression of HARS1 mRNA	increases^expression	19549813
HARS1	3035	Cyclosporine	D016572	59865-13-3	Cyclosporine results in increased expression of HARS1 mRNA	increases^expression	25562108
HARS1	3035	Doxorubicin	D004317	23214-92-8	Doxorubicin results in increased expression of HARS1 mRNA	increases^expression	29803840
HARS1	3035	Enzyme Inhibitors	D004791		[Enzyme Inhibitors results in decreased activity of OGA protein] which results in increased O-linked glycosylation of HARS1 protein	decreases^activity|increases^O-linked glycosylation	23301498
HARS1	3035	Ionomycin	D015759	56092-81-0	pyrrolidine dithiocarbamic acid inhibits the reaction [[Tetradecanoylphorbol Acetate co-treated with Ionomycin] results in decreased expression of HARS1 mRNA]	affects^cotreatment|decreases^expression|decreases^reaction	15477007
HARS1	3035	Ionomycin	D015759	56092-81-0	[Tetradecanoylphorbol Acetate co-treated with Ionomycin] results in decreased expression of HARS1 mRNA	affects^cotreatment|decreases^expression	15477007
HARS1	3035	Nanotubes, Carbon	D037742		[Nanotubes, Carbon co-treated with calfactant] results in increased expression of HARS1 protein	affects^cotreatment|increases^expression	23026733
HARS1	3035	pyrrolidine dithiocarbamic acid	C020972	25769-03-3	pyrrolidine dithiocarbamic acid inhibits the reaction [[Tetradecanoylphorbol Acetate co-treated with Ionomycin] results in decreased expression of HARS1 mRNA]	affects^cotreatment|decreases^expression|decreases^reaction	15477007
HARS1	3035	Selenium	D012643	7782-49-2	Selenium results in increased expression of HARS1 mRNA	increases^expression	19244175
HARS1	3035	Tetradecanoylphorbol Acetate	D013755	16561-29-8	pyrrolidine dithiocarbamic acid inhibits the reaction [[Tetradecanoylphorbol Acetate co-treated with Ionomycin] results in decreased expression of HARS1 mRNA]	affects^cotreatment|decreases^expression|decreases^reaction	15477007
HARS1	3035	Tetradecanoylphorbol Acetate	D013755	16561-29-8	[Tetradecanoylphorbol Acetate co-treated with Ionomycin] results in decreased expression of HARS1 mRNA	affects^cotreatment|decreases^expression	15477007
HARS1	3035	Tobacco Smoke Pollution	D014028		Tobacco Smoke Pollution affects the expression of HARS1 protein	affects^expression	30291989
HARS1	3035	Valproic Acid	D014635	99-66-1	Valproic Acid affects the expression of HARS1 mRNA	affects^expression	25979313
HARS1	3035	Valproic Acid	D014635	99-66-1	Valproic Acid results in increased expression of HARS1 mRNA	increases^expression	23179753
HARS1	3035	Valproic Acid	D014635	99-66-1	Valproic Acid results in increased methylation of HARS1 gene	increases^methylation	29154799
HARS1	3035	Vitamin E	D014810	1406-18-4	Vitamin E results in increased expression of HARS1 mRNA	increases^expression	19244175
HMOX2	3163	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of HMOX2 mRNA	affects^cotreatment|increases^expression	28628672
HMOX2	3163	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol F] results in increased expression of HMOX2 mRNA	affects^cotreatment|increases^expression	28628672
HMOX2	3163	4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide results in increased expression of HMOX2 protein	increases^expression	25670856
HMOX2	3163	4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		[NOG protein co-treated with Valproic Acid co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of HMOX2 mRNA	affects^cotreatment|increases^expression	27188386
HMOX2	3163	abexinostat	C512352		abexinostat promotes the reaction [Bortezomib results in decreased expression of HMOX2 mRNA]	decreases^expression|increases^reaction	19417023
HMOX2	3163	abexinostat	C512352		abexinostat results in decreased expression of HMOX2 mRNA	decreases^expression	19417023
HMOX2	3163	Aerosols	D000336		Aerosols results in increased expression of HMOX2 mRNA	increases^expression	29505817
HMOX2	3163	Aflatoxin B1	D016604	1162-65-8	Aflatoxin B1 results in increased methylation of HMOX2 gene	increases^methylation	28458013
HMOX2	3163	aflatoxin B2	C029753	22040-96-6	aflatoxin B2 results in decreased methylation of HMOX2 intron	decreases^methylation	30157460
HMOX2	3163	Arsenic Trioxide	D000077237	1327-53-3	Arsenic Trioxide results in increased expression of HMOX2 mRNA	increases^expression	20458559
HMOX2	3163	Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene affects the methylation of HMOX2 5' UTR	affects^methylation	27901495
HMOX2	3163	Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene affects the methylation of HMOX2 promoter	affects^methylation	27901495
HMOX2	3163	benzo(e)pyrene	C026487	192-97-2	benzo(e)pyrene results in decreased methylation of HMOX2 intron	decreases^methylation	30157460
HMOX2	3163	bisphenol A	C006780	80-05-7	bisphenol A affects the expression of HMOX2 mRNA	affects^expression	21826169
HMOX2	3163	bisphenol A	C006780	80-05-7	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of HMOX2 mRNA	affects^cotreatment|increases^expression	28628672
HMOX2	3163	bisphenol F	C000611646		[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol F] results in increased expression of HMOX2 mRNA	affects^cotreatment|increases^expression	28628672
HMOX2	3163	Bortezomib	D000069286		abexinostat promotes the reaction [Bortezomib results in decreased expression of HMOX2 mRNA]	decreases^expression|increases^reaction	19417023
HMOX2	3163	C646 compound	C584509		C646 compound results in decreased expression of HMOX2 mRNA	decreases^expression	26191083
HMOX2	3163	Carbonyl Cyanide p-Trifluoromethoxyphenylhydrazone	D002259	370-86-5	Carbonyl Cyanide p-Trifluoromethoxyphenylhydrazone results in decreased expression of HMOX2 mRNA	decreases^expression	16039398
HMOX2	3163	chromium histidinate	C499843		chromium histidinate results in increased expression of HMOX2 mRNA	increases^expression	19902159
HMOX2	3163	Copper Sulfate	D019327	7758-98-7	Copper Sulfate results in decreased expression of HMOX2 mRNA	decreases^expression	19549813
HMOX2	3163	Dexamethasone	D003907	50-02-2	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of HMOX2 mRNA	affects^cotreatment|increases^expression	28628672
HMOX2	3163	Dexamethasone	D003907	50-02-2	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol F] results in increased expression of HMOX2 mRNA	affects^cotreatment|increases^expression	28628672
HMOX2	3163	Diethylhexyl Phthalate	D004051	117-81-7	Diethylhexyl Phthalate results in increased expression of HMOX2 mRNA	increases^expression	31163220
HMOX2	3163	dorsomorphin	C516138		[NOG protein co-treated with Valproic Acid co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of HMOX2 mRNA	affects^cotreatment|increases^expression	27188386
HMOX2	3163	Enzyme Inhibitors	D004791		[Enzyme Inhibitors results in decreased activity of OGA protein] which results in increased O-linked glycosylation of HMOX2 protein	decreases^activity|increases^O-linked glycosylation	23301498
HMOX2	3163	epigallocatechin gallate	C045651	989-51-5	[potassium chromate(VI) co-treated with epigallocatechin gallate] results in decreased expression of HMOX2 mRNA	affects^cotreatment|decreases^expression	22079256
HMOX2	3163	Estradiol	D004958	50-28-2	Estradiol affects the expression of HMOX2 mRNA	affects^expression	21826169
HMOX2	3163	Hemin	D006427	16009-13-5	HMOX2 protein results in decreased susceptibility to Hemin	decreases^response to substance	15589375
HMOX2	3163	Hydrogen Peroxide	D006861	7722-84-1	HMOX2 protein results in decreased susceptibility to Hydrogen Peroxide	decreases^response to substance	15589375
HMOX2	3163	Hydrogen Peroxide	D006861	7722-84-1	[Hydrogen Peroxide co-treated with Quinic Acid analog] results in increased expression of HMOX2 mRNA	affects^cotreatment|increases^expression	21751221
HMOX2	3163	Hydrogen Peroxide	D006861	7722-84-1	Hydrogen Peroxide results in increased expression of HMOX2 mRNA	increases^expression	21751221
HMOX2	3163	ICG 001	C492448		ICG 001 results in decreased expression of HMOX2 mRNA	decreases^expression	26191083
HMOX2	3163	Indomethacin	D007213	53-86-1	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol A] results in increased expression of HMOX2 mRNA	affects^cotreatment|increases^expression	28628672
HMOX2	3163	Indomethacin	D007213	53-86-1	[INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Indomethacin co-treated with bisphenol F] results in increased expression of HMOX2 mRNA	affects^cotreatment|increases^expression	28628672
HMOX2	3163	Lactic Acid	D019344	50-21-5	Lactic Acid results in decreased expression of HMOX2 mRNA	decreases^expression	30851411
HMOX2	3163	Methapyrilene	D008701	91-80-5	Methapyrilene results in decreased methylation of HMOX2 intron	decreases^methylation	30157460
HMOX2	3163	Methylmercury Compounds	D008767		HMOX2 protein results in decreased susceptibility to Methylmercury Compounds	decreases^response to substance	20807546
HMOX2	3163	Nanotubes, Carbon	D037742		Nanotubes, Carbon results in decreased expression of HMOX2 mRNA	decreases^expression	15585362
HMOX2	3163	Nanotubes, Carbon	D037742		Nanotubes, Carbon results in increased expression of HMOX2 mRNA	increases^expression	17450800
HMOX2	3163	N,N,N',N'-tetrakis(2-pyridylmethyl)ethylenediamine	C044387	16858-02-9	N,N,N',N'-tetrakis(2-pyridylmethyl)ethylenediamine results in decreased expression of HMOX2 mRNA	decreases^expression	12888634
HMOX2	3163	Particulate Matter	D052638		Particulate Matter results in increased expression of HMOX2 mRNA	increases^expression	30081072
HMOX2	3163	pinosylvin	C049032	102-61-4	pinosylvin results in increased expression of HMOX2 mRNA	increases^expression	23333577
HMOX2	3163	potassium chromate(VI)	C027373	7789-00-6	[potassium chromate(VI) co-treated with epigallocatechin gallate] results in decreased expression of HMOX2 mRNA	affects^cotreatment|decreases^expression	22079256
HMOX2	3163	potassium chromate(VI)	C027373	7789-00-6	potassium chromate(VI) results in decreased expression of HMOX2 mRNA	decreases^expression	22079256
HMOX2	3163	Quinic Acid	D011801	77-95-2	[Hydrogen Peroxide co-treated with Quinic Acid analog] results in increased expression of HMOX2 mRNA	affects^cotreatment|increases^expression	21751221
HMOX2	3163	Reactive Oxygen Species	D017382		Reactive Oxygen Species results in increased expression of HMOX2 mRNA	increases^expression	25800948
HMOX2	3163	Sodium Dodecyl Sulfate	D012967	151-21-3	Sodium Dodecyl Sulfate results in increased expression of HMOX2 mRNA	increases^expression	31734321
HMOX2	3163	Sodium Selenite	D018038	10102-18-8	Sodium Selenite results in increased expression of HMOX2 mRNA	increases^expression	18175754
HMOX2	3163	tert-Butylhydroperoxide	D020122	75-91-2	HMOX2 protein results in decreased susceptibility to tert-Butylhydroperoxide	decreases^response to substance	15589375
HMOX2	3163	tert-Butylhydroperoxide	D020122	75-91-2	tert-Butylhydroperoxide results in decreased expression of HMOX2 mRNA	decreases^expression	27509014
HMOX2	3163	tert-Butylhydroperoxide	D020122	75-91-2	tert-Butylhydroperoxide results in increased methylation of HMOX2 gene	increases^methylation	27509014
HMOX2	3163	Tetrachlorodibenzodioxin	D013749	1746-01-6	Tetrachlorodibenzodioxin results in decreased expression of HMOX2 mRNA	decreases^expression	16039398
HMOX2	3163	titanium dioxide	C009495	13463-67-7	titanium dioxide results in increased expression of HMOX2 mRNA	increases^expression	19695317
HMOX2	3163	Tobacco Smoke Pollution	D014028		Tobacco Smoke Pollution results in increased expression of HMOX2 mRNA	increases^expression	29505817
HMOX2	3163	Tretinoin	D014212	302-79-4	[Tretinoin co-treated with Zoledronic Acid] results in increased expression of HMOX2 protein	affects^cotreatment|increases^expression	20349282
HMOX2	3163	trichostatin A	C012589	58880-19-6	trichostatin A results in increased expression of HMOX2 mRNA	increases^expression	24935251
HMOX2	3163	Urethane	D014520	51-79-6	Urethane results in increased expression of HMOX2 mRNA	increases^expression	28818685
HMOX2	3163	Valproic Acid	D014635	99-66-1	[NOG protein co-treated with Valproic Acid co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of HMOX2 mRNA	affects^cotreatment|increases^expression	27188386
HMOX2	3163	Valproic Acid	D014635	99-66-1	Valproic Acid affects the expression of HMOX2 mRNA	affects^expression	25979313
HMOX2	3163	Valproic Acid	D014635	99-66-1	Valproic Acid results in increased expression of HMOX2 mRNA	increases^expression	23179753|26272509|28001369
HMOX2	3163	Valproic Acid	D014635	99-66-1	Valproic Acid results in increased methylation of HMOX2 gene	increases^methylation	29154799
HMOX2	3163	Vanadates	D014638		Vanadates results in increased expression of HMOX2 mRNA	increases^expression	22714537
HMOX2	3163	Vehicle Emissions	D001335		Vehicle Emissions results in increased expression of HMOX2 mRNA	increases^expression	30081072
HMOX2	3163	Zoledronic Acid	D000077211		[Tretinoin co-treated with Zoledronic Acid] results in increased expression of HMOX2 protein	affects^cotreatment|increases^expression	20349282
HSD17B10	3028	1-Methyl-4-phenylpyridinium	D015655	48134-75-4	1-Methyl-4-phenylpyridinium results in decreased expression of HSD17B10 protein	decreases^expression	24806433
HSD17B10	3028	20-hydroxycholesterol	C025813	516-72-3	[20-hydroxycholesterol co-treated with NAD] binds to HSD17B10 protein	affects^binding|affects^cotreatment	25526675
HSD17B10	3028	4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide results in increased expression of HSD17B10 protein	increases^expression	25670856
HSD17B10	3028	5-(2,4-dihydroxy-5-isopropylphenyl)-4-(4-morpholin-4-ylmethylphenyl)isoxazole-3-carboxylic acid ethylamide	C528044		5-(2,4-dihydroxy-5-isopropylphenyl)-4-(4-morpholin-4-ylmethylphenyl)isoxazole-3-carboxylic acid ethylamide results in decreased expression of HSD17B10 protein	decreases^expression	31370342
HSD17B10	3028	Acetaminophen	D000082	103-90-2	Acetaminophen results in decreased expression of HSD17B10 mRNA	decreases^expression	25704631|26690555
HSD17B10	3028	Aminoglutethimide	D000616	125-84-8	Aminoglutethimide results in decreased expression of HSD17B10 protein	decreases^expression	26102013
HSD17B10	3028	Androstane-3,17-diol	D015113	25126-76-5	[Androstane-3,17-diol co-treated with NAD] binds to HSD17B10 protein	affects^binding|affects^cotreatment	25526675
HSD17B10	3028	Arsenic	D001151	7440-38-2	Arsenic results in increased methylation of HSD17B10 promoter	increases^methylation	21291286
HSD17B10	3028	Atrazine	D001280	1912-24-9	Atrazine results in decreased expression of HSD17B10 mRNA	decreases^expression	22378314
HSD17B10	3028	Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene affects the methylation of HSD17B10 exon	affects^methylation	27901495
HSD17B10	3028	Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene affects the methylation of HSD17B10 promoter	affects^methylation	27901495
HSD17B10	3028	bisphenol A	C006780	80-05-7	bisphenol A results in decreased expression of HSD17B10 mRNA	decreases^expression	25047013|29275510
HSD17B10	3028	cholest-5-en-3 beta,7 alpha-diol	C011724	566-26-7	[cholest-5-en-3 beta,7 alpha-diol co-treated with NAD] binds to HSD17B10 protein	affects^binding|affects^cotreatment	25526675
HSD17B10	3028	Cholestanol	D004083	80-97-7	[Cholestanol co-treated with NAD] binds to HSD17B10 protein	affects^binding|affects^cotreatment	25526675
HSD17B10	3028	Cyclosporine	D016572	59865-13-3	Cyclosporine results in decreased expression of HSD17B10 mRNA	decreases^expression	20106945
HSD17B10	3028	dibutyldi(4-chlorobenzohydroxamato)tin(IV)	C542282		dibutyldi(4-chlorobenzohydroxamato)tin(IV) results in decreased expression of HSD17B10 protein	decreases^expression	22732634
